Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,El mundo árabe,ARB,2.98900807203007,3.68444127176971,4.54215145137159,4.61575820147529,4.53775523602928,4.81363072670862,4.65047416848542,4.86023383242015,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Estados pequeos del Caribe,CSS,5.24691087804698,6.5066921708591,8.91500164132058,9.27710944981283,9.1437342207778,8.88637753142472,9.13802548937418,8.88454138458529,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Europa Central y del Báltico,CEB,9.01457630711816,6.60384328227738,6.51550866539489,6.82803356479057,6.86434946488299,6.50436699486502,6.3448382618131,6.14888253990517,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,inicial del dividendo demográfico,EAR,1.40325601890539,1.71211190477899,2.12852237731529,2.11982654072511,2.20137008449608,2.29594268221608,2.21086506287639,2.29530215229644,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Asia oriental y el Pacífico,EAS,2.58234344776172,3.19837264791158,5.30531826668782,5.70178263843552,6.1900228643384,6.30711795666516,6.33049800520395,6.29360497638158,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Asia oriental y el Pacífico (excluido altos ingresos),EAP,1.78512156752207,2.31133094574131,4.72637784326383,5.1060445087073,5.64163635499887,5.77322448528528,5.79045974876772,5.77547834477085,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Asia oriental y el Pacífico (BIRF y la AIF),TEA,1.78151318930786,2.30216826275951,4.74979148692273,5.13658805605719,5.68848786862672,5.82125352176721,5.84531756868058,5.82786717938883,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Zona del Euro,EMU,..,8.20701372531262,7.28491754913566,7.42563425737053,7.16146999024863,6.99709705392853,6.84446202821924,6.47492054828707,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Europa y Asia central,ECS,..,7.60687248551669,7.21897575320116,7.54293864050654,7.5000651320756,7.47320699340852,7.28924246094611,6.9160493262343,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Europa y Asia central (excluido altos ingresos),ECA,..,6.86517623767031,7.08574754300184,7.55576803075348,7.88387236190316,7.99917048147051,7.73327594669738,7.42132815895557,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Europa y Asia central (BIRF y la AIF),TEC,..,6.92304430503291,7.12577579272499,7.59235511198605,7.88957909505563,7.95164336029705,7.71604487747165,7.39596064039771,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Unión Europea,EUU,8.57900360245255,8.01273165696264,7.15740961230372,7.35630495447647,7.07946092042801,6.91780251227693,6.75382527003182,6.37914884774526,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Frágiles y situaciones de conflicto afectados,FCS,0.741506441594247,0.765812137498156,0.820861629140423,0.842662476927779,0.825987786184085,0.841904674659245,0.880020573721388,0.886959023932481,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Países pobres muy endeudados (PPME),HPC,0.169466570724482,0.162257813773791,0.203269539955969,0.221203409083111,0.23265995240672,0.24060112125875,0.254597359190511,0.2653421500774,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Ingreso alto,HIC,11.1453089727717,11.934569368192,10.9613272364708,11.2702981086943,11.0295671516912,10.8574397484501,10.7743512644264,10.712692294652,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Sólo BIRF,IBD,2.59481340847896,2.63696040769977,3.91315476994536,4.12173559019689,4.40929642582329,4.52270029608324,4.50092855211116,4.50856097887144,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,BIRF y la AIF,IBT,2.18462867553319,2.17848175361583,3.1160754104785,3.27126064425204,3.48481755383119,3.56011929406307,3.53543267601104,3.52966095171553,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,mezcla de la AIF,IDB,0.935139054176256,0.963794691505352,0.890379577909769,0.907667614250529,0.939870757407796,0.937521857929491,0.930803298041923,0.880445467307095,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Sólo AIF,IDX,0.257789590411893,0.256610246591887,0.315627497082823,0.332242202604524,0.335718672407633,0.325675764984591,0.336241561204255,0.348440392892661,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,total de la AIF,IDA,0.490587432158436,0.494096652000844,0.506682531920135,0.523641434131707,0.536908204164322,0.529591478196583,0.534503758162866,0.525891423579314,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,avanzada del dividendo demográfico,LTE,3.36966613311032,3.40141700986164,5.62839942107689,6.07688339069316,6.5535444692305,6.70379206798689,6.77047122556471,6.74476233270348,..,..,..,..
