id,cod_nodo,cod_sensor,valor,payload,fecha_tran
3676114,4,20,18.00,"{"N1":419,"N2":453,"N3":466,"N4":-777,"N5":-777,"N6":-777,"RAM":1404,"msq":24,"din":1}","2019-05-07 08:35:59"
3676115,4,21,19.00,"{"N1":419,"N2":453,"N3":466,"N4":-777,"N5":-777,"N6":-777,"RAM":1404,"msq":24,"din":1}","2019-05-07 08:35:59"
3676116,4,22,20.00,"{"N1":419,"N2":453,"N3":466,"N4":-777,"N5":-777,"N6":-777,"RAM":1404,"msq":24,"din":1}","2019-05-07 08:35:59"
3676117,4,23,0.00,"{"N1":419,"N2":453,"N3":466,"N4":-777,"N5":-777,"N6":-777,"RAM":1404,"msq":24,"din":1}","2019-05-07 08:35:59"
3676118,4,24,0.00,"{"N1":419,"N2":453,"N3":466,"N4":-777,"N5":-777,"N6":-777,"RAM":1404,"msq":24,"din":1}","2019-05-07 08:35:59"
3676119,4,25,0.00,"{"N1":419,"N2":453,"N3":466,"N4":-777,"N5":-777,"N6":-777,"RAM":1404,"msq":24,"din":1}","2019-05-07 08:35:59"
3676120,4,20,18.00,"{"N1":419,"N2":449,"N3":459,"N4":-777,"N5":-777,"N6":-777,"RAM":1404,"msq":24,"din":1}","2019-05-07 08:40:00"
3676121,4,21,19.00,"{"N1":419,"N2":449,"N3":459,"N4":-777,"N5":-777,"N6":-777,"RAM":1404,"msq":24,"din":1}","2019-05-07 08:40:00"
3676122,4,22,19.00,"{"N1":419,"N2":449,"N3":459,"N4":-777,"N5":-777,"N6":-777,"RAM":1404,"msq":24,"din":1}","2019-05-07 08:40:00"
3676123,4,23,0.00,"{"N1":419,"N2":449,"N3":459,"N4":-777,"N5":-777,"N6":-777,"RAM":1404,"msq":24,"din":1}","2019-05-07 08:40:00"
3676124,4,24,0.00,"{"N1":419,"N2":449,"N3":459,"N4":-777,"N5":-777,"N6":-777,"RAM":1404,"msq":24,"din":1}","2019-05-07 08:40:00"
3676125,4,25,0.00,"{"N1":419,"N2":449,"N3":459,"N4":-777,"N5":-777,"N6":-777,"RAM":1404,"msq":24,"din":1}","2019-05-07 08:40:00"
3676126,4,20,18.00,"{"N1":418,"N2":455,"N3":461,"N4":-777,"N5":-777,"N6":-777,"RAM":1404,"msq":24,"din":1}","2019-05-07 08:45:39"
3676127,4,21,19.00,"{"N1":418,"N2":455,"N3":461,"N4":-777,"N5":-777,"N6":-777,"RAM":1404,"msq":24,"din":1}","2019-05-07 08:45:39"
3676128,4,22,19.00,"{"N1":418,"N2":455,"N3":461,"N4":-777,"N5":-777,"N6":-777,"RAM":1404,"msq":24,"din":1}","2019-05-07 08:45:39"
3676129,4,23,0.00,"{"N1":418,"N2":455,"N3":461,"N4":-777,"N5":-777,"N6":-777,"RAM":1404,"msq":24,"din":1}","2019-05-07 08:45:39"
3676130,4,24,0.00,"{"N1":418,"N2":455,"N3":461,"N4":-777,"N5":-777,"N6":-777,"RAM":1404,"msq":24,"din":1}","2019-05-07 08:45:39"
3676131,4,25,0.00,"{"N1":418,"N2":455,"N3":461,"N4":-777,"N5":-777,"N6":-777,"RAM":1404,"msq":24,"din":1}","2019-05-07 08:45:39"
3676132,4,20,18.00,"{"N1":421,"N2":448,"N3":463,"N4":-777,"N5":-777,"N6":-777,"RAM":1383,"msq":24,"din":1}","2019-05-07 08:48:59"
3676133,4,21,19.00,"{"N1":421,"N2":448,"N3":463,"N4":-777,"N5":-777,"N6":-777,"RAM":1383,"msq":24,"din":1}","2019-05-07 08:48:59"
3676134,4,22,19.00,"{"N1":421,"N2":448,"N3":463,"N4":-777,"N5":-777,"N6":-777,"RAM":1383,"msq":24,"din":1}","2019-05-07 08:48:59"
3676135,4,23,0.00,"{"N1":421,"N2":448,"N3":463,"N4":-777,"N5":-777,"N6":-777,"RAM":1383,"msq":24,"din":1}","2019-05-07 08:48:59"
3676136,4,24,0.00,"{"N1":421,"N2":448,"N3":463,"N4":-777,"N5":-777,"N6":-777,"RAM":1383,"msq":24,"din":1}","2019-05-07 08:48:59"
3676137,4,25,0.00,"{"N1":421,"N2":448,"N3":463,"N4":-777,"N5":-777,"N6":-777,"RAM":1383,"msq":24,"din":1}","2019-05-07 08:48:59"
3676138,4,20,17.00,"{"N1":415,"N2":450,"N3":466,"N4":-777,"N5":-777,"N6":-777,"RAM":1383,"msq":24,"din":1}","2019-05-07 08:54:39"
3676139,4,21,19.00,"{"N1":415,"N2":450,"N3":466,"N4":-777,"N5":-777,"N6":-777,"RAM":1383,"msq":24,"din":1}","2019-05-07 08:54:39"
3676140,4,22,20.00,"{"N1":415,"N2":450,"N3":466,"N4":-777,"N5":-777,"N6":-777,"RAM":1383,"msq":24,"din":1}","2019-05-07 08:54:39"
3676141,4,23,0.00,"{"N1":415,"N2":450,"N3":466,"N4":-777,"N5":-777,"N6":-777,"RAM":1383,"msq":24,"din":1}","2019-05-07 08:54:39"
3676142,4,24,0.00,"{"N1":415,"N2":450,"N3":466,"N4":-777,"N5":-777,"N6":-777,"RAM":1383,"msq":24,"din":1}","2019-05-07 08:54:39"
3676143,4,25,0.00,"{"N1":415,"N2":450,"N3":466,"N4":-777,"N5":-777,"N6":-777,"RAM":1383,"msq":24,"din":1}","2019-05-07 08:54:39"
3676144,4,20,18.00,"{"N1":419,"N2":452,"N3":463,"N4":-777,"N5":-777,"N6":-777,"RAM":1383,"msq":24,"din":1}","2019-05-07 08:54:59"
