"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Industria, valor agregado (% del PIB)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3986419309119","14.9866606211009","17.1327192233916","17.5136636772655","15.549271842299","15.8253515750802","15.9113471050335","15.2834244604317","16.7927031509121","17.5977187264979","18.5044103547459","19.5727649769585","18.9801110873745","18.0314000814001","16.175408003577","","","","","","","","","",
"Afganistán","AFG","Industria, valor agregado (% del PIB)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8101270064854","22.7108641828326","26.2267897500666","26.8120992326398","28.2107680719994","26.8822416082148","26.9156280026285","21.8971222069406","21.1514206977128","22.7402524820273","21.1578071539751","20.4446053132561","21.2296632181805","22.1240424906926","21.8232227792274","22.1276696065895","",
"Angola","AGO","Industria, valor agregado (% del PIB)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2851757873636","67.8206759362436","60.757741389497","55.1572893027623","72.7173723137849","72.1229549419033","64.8838115415289","56.0757965436657","53.1169963905271","54.6299213103451","60.401993456304","58.1093311668826","61.8835378507461","60.2548201249872","44.0563761683717","52.3684348883832","56.0265147433917","56.9182197483423","53.3628539818067","46.2033255678467","41.9330926455575","42.6435667789148","42.1679533274219","",
"Albania","ALB","Industria, valor agregado (% del PIB)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","46.6389660598307","44.548979126166","45.3779199162366","44.8597876911412","45.5849531499828","44.8598584847411","45.8107077999906","47.4692068000411","47.9875233776704","46.4312333284512","49.9370549091933","44.2349066702877","25.368698492183","23.727795354229","22.9405433722901","22.7963216691256","17.3738406921901","18.1097656674433","15.3468382322371","16.5367430578412","19.3956891374484","21.7357737789933","23.10636959577","24.055608509483","24.6655622675068","25.0816065897088","25.3080259185205","25.3403319220157","25.1610103305709","24.4137783931968","24.9374619346668","24.4844782196853","22.9185533432722","23.0613168520051","21.5088457362369","21.7636809971645","21.1307770677668","20.8879467005305","",
"Andorra","AND","Industria, valor agregado (% del PIB)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.09311915115","14.5486609277857","14.9173820732946","15.4004329004329","15.7394327476971","15.820976478048","16.0937284240864","15.461700967698","15.4845713533785","14.3852591229102","13.4566122634248","12.4027751976803","11.0242710168817","10.2524993020969","9.90754123027579","9.78336331219035","9.84471894475009","","",
"El mundo árabe","ARB","Industria, valor agregado (% del PIB)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","58.3611344137311","56.9243850893784","54.7157569256435","52.1847669567817","","61.1789121866628","57.5286744671496","50.037341076872","45.4488841782876","44.356747801439","41.5262719587537","37.1903501974034","38.6938689922238","37.5615203053983","39.3589055503749","45.4672615856807","40.7276063393598","42.9322218953853","41.3883776509216","39.953826410912","41.2649347202811","42.3721213788835","43.2805247775369","39.0556595766769","42.3455900036898","47.6936667648647","45.5982861693449","45.9496639312356","47.2770408122706","48.6464945837966","51.8977363290188","52.9414252676181","51.7260218549465","54.6551440885472","46.2136107362514","49.3640557837868","54.3268592514719","53.4369681635494","51.5012181643142","49.7415474028108","40.9451728381705","38.5978069339777","40.8465383632406","",
"Emiratos Árabes Unidos","ARE","Industria, valor agregado (% del PIB)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","73.995507005299","71.8147226501297","67.9817061865227","68.058799882661","71.3555523848691","72.6636063301946","68.3633070683534","63.1520519771899","61.4041786789367","62.8107143089844","61.2521468441391","52.1543733498118","54.6811011537108","53.0142376546918","55.0769292067955","58.9023505708529","46.7783014879946","55.2980232231106","51.4799216454456","46.2603750878466","45.5451739211502","46.3670023696682","45.4284115017034","40.0235324596818","42.0206625694073","48.5170116316395","49.6763412859899","47.5457475824448","49.1210129154604","51.6783480847693","55.6436148080251","57.903111718071","54.840228590251","58.0179784435584","52.044956000368","52.5496032864644","58.0511577307716","57.4636326365648","55.0200674265532","52.7781098680802","43.9090333328011","41.4486809512769","43.5967934679329","",
"Argentina","ARG","Industria, valor agregado (% del PIB)","NV.IND.TOTL.ZS","","","","","","48.4144764220088","49.605814661101","47.3834143823114","47.0360652886282","47.3861283042889","42.278789634459","45.9547284532329","45.581648950747","43.3522399337902","43.5928026239928","50.141323678472","50.8936968312364","47.8061321945614","46.0976480124721","44.0281237958525","41.2196656664295","40.3382267073251","41.1028486443199","41.5563065120102","39.70818793304","39.2761545711593","37.3804348914775","37.8286752699048","38.4866110820983","42.3478130695861","36.0218813478135","32.7225282556322","30.6839549022114","27.338739645861","26.7545586932878","26.3012103355498","26.5925606398683","27.1791508883114","26.7121357626278","26.1936304991129","25.9908360111364","25.2434339827333","30.5577370913046","32.6450990996503","28.816922006834","28.6263140439084","29.2032796652469","27.4152361334783","26.2724599395946","25.2842047993735","25.2587762576722","25.2126976058843","24.4290570649122","24.0058814423072","24.2773944936602","23.153056135905","22.1874978578954","21.8199365325614","",
"Armenia","ARM","Industria, valor agregado (% del PIB)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8270946139077","26.7090481417071","25.2705329463993","25.7086994351611","25.5771330395605","25.2913056551638","",
"Samoa Americana","ASM","Industria, valor agregado (% del PIB)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Industria, valor agregado (% del PIB)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","11.5311018882105","10.3771694170806","11.5880623141682","13.0645125420129","13.3137815445152","10.4133582428273","10.2211517108379","10.9162325364122","11.7298494640686","12.9576021006585","13.8033586786209","14.2363271603704","15.2518015531413","13.9102119639041","14.5641581154372","13.482439270138","12.7076348523054","12.5255733580366","12.6958809966288","12.2471867059665","12.5128238806931","12.6588025944488","13.5118204149809","13.8271123377026","12.8781383468874","13.0423267437658","13.1952965112376","13.0557536029488","14.5297886320759","18.4627442124786","17.7596079841267","19.15681188452","19.4880115342122","16.1395198496024","14.4748015748174","14.1181042563759","15.5312760925733","15.860501366952","16.1857760784373","17.4854411285737","18.876853952941","",
"Australia","AUS","Industria, valor agregado (% del PIB)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.8611505840063","27.7315282759885","26.948742895424","26.9047382761047","26.8605794624492","26.5102604904897","26.0544466536138","25.2925042905432","25.4361100294679","24.7108346065915","24.6495848584948","23.6943893434133","23.6414423902072","24.0731026144477","23.9194852449678","24.5837638600665","25.598286263494","25.5913265047528","25.531305045261","26.9274784590663","25.0637567076367","26.3429497128804","26.1887359700695","25.0373236011636","25.4176651359589","23.5490352805346","22.258261609396","23.0484110321623","",
"Austria","AUT","Industria, valor agregado (% del PIB)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","33.9985957592584","33.6022058375951","33.8423834520677","32.9180396040663","32.9373058806368","32.5462609290072","31.7661310032735","31.2968522487394","30.1146222502124","30.4474448148923","30.259284481884","29.7526220782216","29.5182639679518","29.2832194199124","29.5608636535213","29.5052576493809","29.0158976209675","28.303768454542","28.4134002148092","28.851531988081","28.7520088650827","28.6763839380903","28.5106628527989","28.4285921580405","28.2848020340956","28.2087461435225","27.3880784820285","27.498379858473","27.3737678166123","27.0742425967636","27.2593708304078","27.5726388212438","26.9602141407645","25.7928458296062","25.5349942466396","25.4474320432043","25.6339685320435","25.5249417894219","25.3646396008814","25.1791045049257","25.2018351011189","25.2769558796253","",
"Azerbaiyán","AZE","Industria, valor agregado (% del PIB)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.3666666666667","31.64","36.6895833333333","32.1487261146497","27.6519081932212","30.9963445496298","35.1496743028617","36.9914194345059","34.9561123059931","39.1035999046383","42.5383099128887","43.4626382722552","46.1542268041237","48.5398446792136","50.7690323790767","58.7877819924137","64.9582315349244","66.160328626082","65.5185214713533","56.2619552546943","59.7713411044389","61.7328443608156","59.4557912599989","57.0544154549517","53.5868546669355","44.8913203383597","47.5578070076723","49.5820209852128","",
"Burundi","BDI","Industria, valor agregado (% del PIB)","NV.IND.TOTL.ZS","","","","","","","","","","","9.40435329180615","9.757409474907","10.7939653815164","11.6259017618486","12.1193843211534","12.5826855731207","11.7422871267673","12.1820399284065","14.3067317549249","14.7154336475697","11.6707379245525","12.7159338731537","14.2948788244325","14.4812136144171","12.5809208689103","11.8218760582459","12.1288474573801","15.7113530371091","14.8146929535943","17.2629184748477","17.3268756640774","17.5348516739186","18.9860061517847","20.1234127083025","19.5729092024609","16.8006722324595","11.7825921702775","13.8904315635939","14.6912847076462","16.1196105401845","15.5395706894248","15.5731910756723","15.8040004931229","15.7417123072253","16.3230191571129","16.9330035986109","15.3152912436064","17.1561942189062","15.415205278109","16.9195289638327","15.3861562777509","14.8096813161324","15.7510376402708","15.5846819672131","15.498211588581","11.7649457671668","11.6278523560524","","",
